Domestic Consumption,Ending Stocks,Balance,Stocks-to-use
8200,866,0.10560975609756097,10.560975609756097
8250,634,0.07684848484848485,7.684848484848485
8500,286,0.03364705882352941,3.364705882352941
9100,756,0.08307692307692308,8.307692307692308
9600,856,0.08916666666666667,8.916666666666668
530,41,0.07735849056603773,7.735849056603773
495,27,0.05454545454545454,5.454545454545454
430,42,0.09767441860465116,9.767441860465116
465,42,0.09032258064516129,9.032258064516128
470,47,0.1,10.0
11150,4724,0.42367713004484303,42.3677130044843
11370,4351,0.38267370272647316,38.26737027264732
11470,5181,0.45170008718395815,45.17000871839581
11550,5326,0.4611255411255411,46.11255411255411
11650,5171,0.443862660944206,44.3862660944206
900,167,0.18555555555555556,18.555555555555557
1200,161,0.13416666666666666,13.416666666666666
1000,83,0.083,8.3
1000,90,0.09,9.0
1050,147,0.14,14.000000000000002
6250,2322,0.37152,37.152
6550,1926,0.29404580152671755,29.404580152671755
6850,3967,0.5791240875912409,57.91240875912409
7050,4292,0.6087943262411347,60.87943262411347
7050,3252,0.46127659574468083,46.12765957446808
500,59,0.118,11.799999999999999
450,99,0.22,22.0
500,212,0.424,42.4
500,290,0.58,57.99999999999999
500,260,0.52,52.0
8025,3018,0.3760747663551402,37.60747663551402
8500,3454,0.4063529411764706,40.63529411764706
8000,4373,0.546625,54.6625
7000,3573,0.5104285714285715,51.042857142857144
7000,3773,0.539,53.900000000000006
3300,376,0.11393939393939394,11.393939393939394
3200,258,0.080625,8.0625
3200,285,0.0890625,8.90625
3150,169,0.05365079365079365,5.365079365079365
3150,169,0.05365079365079365,5.365079365079365
90,21,0.23333333333333334,23.333333333333332
110,25,0.22727272727272727,22.727272727272727
120,23,0.19166666666666668,19.166666666666668
130,23,0.17692307692307693,17.692307692307693
150,23,0.15333333333333332,15.333333333333332
8000,2138,0.26725,26.724999999999998
8250,1313,0.15915151515151515,15.915151515151516
6700,833,0.12432835820895523,12.432835820895523
7350,1083,0.1473469387755102,14.73469387755102
7650,1033,0.1350326797385621,13.50326797385621
18,0,0.0,0.0
6,0,0.0,0.0
20,0,0.0,0.0
0,0,,
0,0,,
2700,614,0.22740740740740742,22.74074074074074
2750,499,0.18145454545454545,18.145454545454545
2750,413,0.1501818181818182,15.01818181818182
2700,353,0.13074074074074074,13.074074074074074
2650,543,0.2049056603773585,20.49056603773585
363,0,0.0,0.0
365,0,0.0,0.0
332,0,0.0,0.0
350,0,0.0,0.0
350,0,0.0,0.0
15,0,0.0,0.0
16,0,0.0,0.0
11,0,0.0,0.0
0,0,,
0,0,,
835,287,0.3437125748502994,34.371257485029936
755,158,0.20927152317880796,20.927152317880797
515,122,0.23689320388349513,23.689320388349515
495,103,0.2080808080808081,20.80808080808081
515,126,0.2446601941747573,24.466019417475728
645,112,0.17364341085271318,17.364341085271317
615,111,0.18048780487804877,18.048780487804876
580,98,0.16896551724137931,16.896551724137932
600,92,0.15333333333333332,15.333333333333332
570,92,0.16140350877192983,16.140350877192983
11800,1851,0.15686440677966101,15.686440677966102
11750,1102,0.0937872340425532,9.37872340425532
11850,1797,0.15164556962025316,15.164556962025316
12000,997,0.08308333333333333,8.308333333333334
11900,1097,0.09218487394957983,9.218487394957982
331,6,0.01812688821752266,1.812688821752266
334,10,0.029940119760479042,2.9940119760479043
310,8,0.025806451612903226,2.5806451612903225
350,8,0.022857142857142857,2.2857142857142856
350,8,0.022857142857142857,2.2857142857142856
580,111,0.19137931034482758,19.137931034482758
580,85,0.14655172413793102,14.655172413793101
420,77,0.18333333333333332,18.333333333333332
450,82,0.18222222222222223,18.22222222222222
455,82,0.18021978021978022,18.021978021978022
1025,5,0.004878048780487805,0.4878048780487805
995,5,0.005025125628140704,0.5025125628140703
1010,11,0.01089108910891089,1.089108910891089
1025,11,0.010731707317073172,1.0731707317073171
1050,11,0.010476190476190476,1.0476190476190477
9100,5953,0.6541758241758242,65.41758241758242
10148,3663,0.36095782420181316,36.095782420181315
9447,3512,0.3717582301259659,37.175823012596595
9200,1866,0.20282608695652174,20.282608695652176
9300,2616,0.2812903225806452,28.12903225806452
202,0,0.0,0.0
202,0,0.0,0.0
176,0,0.0,0.0
301,0,0.0,0.0
282,0,0.0,0.0
2800,300,0.10714285714285714,10.714285714285714
2600,152,0.05846153846153846,5.846153846153846
2450,242,0.09877551020408164,9.877551020408164
2550,152,0.0596078431372549,5.96078431372549
2500,147,0.0588,5.88
155000,139120,0.8975483870967742,89.75483870967741
148000,136759,0.9240472972972973,92.40472972972972
148000,138818,0.9379594594594595,93.79594594594595
154000,133408,0.8662857142857143,86.62857142857143
151000,132508,0.8775364238410596,87.75364238410596
2000,414,0.207,20.7
2075,382,0.18409638554216867,18.40963855421687
2020,458,0.22673267326732674,22.673267326732674
1925,414,0.21506493506493507,21.506493506493506
1975,420,0.21265822784810126,21.265822784810126
239,0,0.0,0.0
135,0,0.0,0.0
281,0,0.0,0.0
275,0,0.0,0.0
250,0,0.0,0.0
468,40,0.08547008547008547,8.547008547008547
570,75,0.13157894736842105,13.157894736842104
460,43,0.09347826086956522,9.347826086956522
500,52,0.104,10.4
470,41,0.08723404255319149,8.72340425531915
260,116,0.4461538461538462,44.61538461538462
260,95,0.36538461538461536,36.53846153846153
250,73,0.292,29.2
260,83,0.3192307692307692,31.92307692307692
260,98,0.3769230769230769,37.69230769230769
550,100,0.18181818181818182,18.181818181818183
570,130,0.22807017543859648,22.807017543859647
580,160,0.27586206896551724,27.586206896551722
600,160,0.26666666666666666,26.666666666666668
610,150,0.2459016393442623,24.59016393442623
657,0,0.0,0.0
590,0,0.0,0.0
470,0,0.0,0.0
550,0,0.0,0.0
550,0,0.0,0.0
450,178,0.39555555555555555,39.55555555555556
470,213,0.4531914893617021,45.31914893617021
480,295,0.6145833333333334,61.458333333333336
480,265,0.5520833333333334,55.208333333333336
490,275,0.5612244897959183,56.12244897959183
1320,256,0.19393939393939394,19.393939393939394
1290,179,0.1387596899224806,13.875968992248062
1350,282,0.2088888888888889,20.88888888888889
1440,246,0.17083333333333334,17.083333333333332
1370,285,0.20802919708029197,20.802919708029197
20500,5032,0.24546341463414634,24.546341463414635
20500,5330,0.26,26.0
20550,4840,0.23552311435523116,23.552311435523116
20500,3310,0.16146341463414635,16.146341463414636
20300,2910,0.14334975369458128,14.334975369458128
270,42,0.15555555555555556,15.555555555555555
320,182,0.56875,56.875
350,286,0.8171428571428572,81.71428571428572
370,326,0.8810810810810811,88.10810810810811
380,356,0.9368421052631579,93.6842105263158
179,0,0.0,0.0
115,0,0.0,0.0
167,0,0.0,0.0
265,0,0.0,0.0
225,0,0.0,0.0
7000,954,0.1362857142857143,13.628571428571428
7300,1153,0.15794520547945207,15.794520547945206
7100,799,0.11253521126760563,11.253521126760562
6800,989,0.14544117647058824,14.544117647058824
6800,979,0.14397058823529413,14.397058823529413
104750,10698,0.10212887828162291,10.212887828162291
108250,13631,0.1259214780600462,12.59214780600462
109000,16038,0.14713761467889908,14.713761467889908
111000,15188,0.13682882882882882,13.682882882882883
109250,11438,0.10469565217391304,10.469565217391304
170,4,0.023529411764705882,2.3529411764705883
185,22,0.11891891891891893,11.891891891891893
170,17,0.1,10.0
190,27,0.14210526315789473,14.210526315789473
185,27,0.14594594594594595,14.594594594594595
110,0,0.0,0.0
138,0,0.0,0.0
152,0,0.0,0.0
130,0,0.0,0.0
130,0,0.0,0.0
620,69,0.11129032258064517,11.129032258064516
600,42,0.07,7.000000000000001
610,80,0.13114754098360656,13.114754098360656
610,67,0.10983606557377049,10.98360655737705
600,67,0.11166666666666666,11.166666666666666
860,376,0.4372093023255814,43.72093023255814
887,372,0.41939120631341603,41.9391206313416
890,216,0.24269662921348314,24.269662921348313
840,206,0.24523809523809523,24.523809523809522
875,211,0.24114285714285713,24.114285714285714
690,246,0.3565217391304348,35.65217391304348
640,157,0.2453125,24.53125
590,93,0.1576271186440678,15.76271186440678
620,123,0.19838709677419356,19.838709677419356
640,183,0.2859375,28.59375
430,80,0.18604651162790697,18.6046511627907
400,74,0.185,18.5
510,86,0.16862745098039217,16.862745098039216
435,91,0.20919540229885059,20.919540229885058
450,91,0.20222222222222222,20.22222222222222
43,9,0.20930232558139536,20.930232558139537
42,9,0.21428571428571427,21.428571428571427
60,9,0.15,15.0
50,9,0.18,18.0
60,9,0.15,15.0
415,19,0.04578313253012048,4.578313253012048
420,39,0.09285714285714286,9.285714285714286
425,19,0.04470588235294118,4.470588235294118
410,19,0.046341463414634146,4.634146341463414
420,19,0.04523809523809524,4.523809523809524
320,16,0.05,5.0
335,33,0.09850746268656717,9.850746268656717
320,15,0.046875,4.6875
335,15,0.04477611940298507,4.477611940298507
340,15,0.04411764705882353,4.411764705882353
381,0,0.0,0.0
393,0,0.0,0.0
351,0,0.0,0.0
400,0,0.0,0.0
400,0,0.0,0.0
102217,27800,0.2719704158799417,27.19704158799417
109882,19500,0.1774630967765421,17.74630967765421
108676,9500,0.08741580477750377,8.741580477750377
